run_id,gate,status,evidence_path,effect,claim_boundary
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,scope_completion_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,BH proxy scout(BH 프록시 탐색) 산출물이 생성됐다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,kpi_contract_audit,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,net/PF/density/DD/side metrics(순수익/PF/밀도/DD/방향 지표)를 기록했다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,skill_receipt_lint,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,필수 receipt(영수증)를 만들었다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,data_integrity_audit,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,closed trade(종료 거래)와 telemetry probability(원격측정 확률)가 1:1 결합됐다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,proxy_replay_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,BG queue(BG 대기열)를 여러 후보 proxy replay(프록시 재생)로 평가했다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,density_survival_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,선택 후보가 3/day 밀도 하한을 유지했다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,short_balance_boundary_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,숏 균형 미해결을 별도 audit(감사)로 남겼다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,runtime_claim_boundary_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,"새 MT5 실행, forward pass(전진 통과), runtime authority(런타임 권위)를 주장하지 않는다.",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,artifact_lineage_audit,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,입력/출력 산출물 계보를 연결했다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BH_train_density_restore_forward_regime_stress_scout_without_db_v1,required_gate_coverage_audit,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/required_gate_coverage_audit.csv,필수 gate(게이트)를 closeout(종료 기록)에 연결했다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
