run_id,input_path,exists,sha256,input_role,effect,claim_boundary
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BI/final_decision.json,True,fd8de68d20479a9690414a6f599ca64f30599f470f9bc513627c05ab67aaf6cc,BI runtime gap review(BI 런타임 차이 검토),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BI/required_gate_coverage_audit.csv,True,ad19cd17b51f86acc46a13db711a1c894d1ba1b572644b5b39d73e3254f7564f,BI runtime gap review(BI 런타임 차이 검토),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BI/run364BJ_implementation_queue.csv,True,ce4a47d4c96b1902496a14f6ee293e7816037558251b8f064054e78e2238ad39,BI runtime gap review(BI 런타임 차이 검토),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/selected_proxy_candidate.json,True,bf3f923d882be24aff8a7b9d3e445dc306d9ab43b56d7e936824e71cb394618e,BH selected proxy clue(BH 선택 프록시 단서),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/expected_tapes/selected_trade_tape.csv,True,0cf2101cd6914211c7d3f92af061b9cdfa13ac5cb067aadf11e2ab77110ce8cf,BH selected proxy clue(BH 선택 프록시 단서),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/03_reviews/run364BI_forward_regime_stress_scout_review.md,True,d557d78e735774b3fdac91f1c872623d2db8c3f78931d050dd3845dcbed0abf5,BI runtime gap review(BI 런타임 차이 검토),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BD/runtime_policy_config.json,True,617c3ca89e4753a61deb73c5e7d0cea5b8cd921978f95919105a98aa53bc44b3,baseline runtime policy package(BD 기준 런타임 정책 패키지),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BD/tester_set_manifest.csv,True,8ae79c295d636b515059ec20df1583a9ed122511aaea25ff95193ff0d45acfab,baseline runtime policy package(BD 기준 런타임 정책 패키지),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_matrices/density_lift_trade_shape_features.csv,True,b30205801b5d8c3615d886adafd7053e225179a31aaac01d4782d36c391990ca,runtime package input(런타임 패키지 입력),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_order.json,True,d7a1067f22872488e8ef8c2fa66dbc644b3845662164dd6d9584c0a6d5a883cc,runtime package input(런타임 패키지 입력),"BJ 런타임 가드 구현과 패키지 입력 계보(lineage, 계보)를 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
