run_id,adapter_id,split,status,report_path,initial_balance,final_balance,net_profit,closed_trade_count,profit_factor,legacy_34d_pf,legacy_34d_dd_percent,max_drawdown_amount,max_drawdown_percent,report_balance_drawdown_maximal,report_equity_drawdown_maximal,report_balance_drawdown_relative,report_equity_drawdown_relative,late_net_share,weak_segments,split_quality_flag
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_lowrank_control,validation_is,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_lowrank_control_rt_val.htm,500,1791.28,1291.28,287,1.605087,1.583157,12.909136,155.62,9.0536,155.62 (9.05%),174.31 (9.09%),11.07% (137.59),12.16% (151.97),0.4123,late,validation_segment_pf_below_34d
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_lowrank_control,oos,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_lowrank_control_rt_oos.htm,500,1275.97,775.97,202,1.695825,1.583157,12.909136,100.21,9.5916,100.21 (9.59%),112.81 (10.75%),13.84% (81.56),15.80% (94.18),0.3667,late,acceptable_measurement_only
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_low_quarter,validation_is,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_low_quarter_rt_val.htm,500,1703.25,1203.25,289,1.553201,1.583157,12.909136,151.25,9.0204,151.25 (9.02%),166.17 (9.11%),11.07% (137.59),12.16% (151.97),0.3943,mid;late,validation_segment_pf_below_34d
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_low_quarter,oos,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_low_quarter_rt_oos.htm,500,1277.96,777.96,203,1.696373,1.583157,12.909136,100.21,9.5707,100.21 (9.57%),112.81 (10.73%),13.90% (82.18),15.85% (94.80),0.3654,late,acceptable_measurement_only
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_high_quarter,validation_is,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_high_quarter_rt_val.htm,500,1746.29,1246.29,288,1.592614,1.583157,12.909136,151.25,9.0209,151.25 (9.02%),170.40 (9.11%),12.79% (97.07),13.01% (98.95),0.4235,late,validation_segment_pf_below_34d
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_high_quarter,oos,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_high_quarter_rt_oos.htm,500,1357.67,857.67,204,1.739326,1.583157,12.909136,105.73,9.5171,105.73 (9.52%),118.93 (10.66%),13.84% (81.56),15.80% (94.18),0.3442,late,acceptable_measurement_only
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_all_oos_anchor,validation_is,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_all_oos_anchor_rt_val.htm,500,1663.47,1163.47,290,1.543472,1.583157,12.909136,148.72,9.0779,148.72 (9.08%),161.99 (9.09%),12.79% (97.07),13.01% (98.95),0.3987,mid;late,validation_segment_pf_below_34d
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_allow_inner_all_oos_anchor,oos,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_allow_inner_all_oos_anchor_rt_oos.htm,500,1357.64,857.64,205,1.73621,1.583157,12.909136,106.43,9.5743,106.43 (9.57%),119.63 (10.72%),13.90% (82.18),15.85% (94.80),0.3434,late,acceptable_measurement_only
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_highedge_reference,validation_is,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_highedge_reference_rt_val.htm,500,1704.24,1204.24,291,1.557224,1.583157,12.909136,151.52,9.0307,151.52 (9.03%),166.17 (9.10%),12.79% (97.07),13.01% (98.95),0.4191,mid;late,validation_segment_pf_below_34d
run264A_stage264_dual_objective_lowrank_lowedge_repair_v1,s264_highedge_reference,oos,completed,stages/264_adapter_research__dual_objective_lowrank_lowedge_repair/02_runs/run264A/mt5/reports/Project_Obsidian_Prime_v2_run264A_stage264_dual_objective_lowrank_lowedge_repair_v1_s264_highedge_reference_rt_oos.htm,500,1328.96,828.96,208,1.704455,1.583157,12.909136,103.92,9.5478,103.92 (9.55%),117.12 (10.72%),13.90% (82.18),15.85% (94.80),0.3481,late,acceptable_measurement_only
